Graded Commit:3f2bf5fb86e300a055cff4359faf8c3ea75ae4f7

TEST NAME, POINTS,OUT OF
client_registry_suite/all_players_empty,0,1,
client_registry_suite/all_players_nonempty,0,1,
client_registry_suite/basic_one_registry,0,1,
client_registry_suite/basic_one_registry_premature,0,1,
client_registry_suite/basic_two_registries,0,1,
client_registry_suite/lookup_null,0,1,
client_registry_suite/many_threads_one_registry,0,1,
client_registry_suite/many_threads_one_registry_premature,0,1,
client_registry_suite/register_login_lookup_not_null,0,1,
client_registry_suite/register_login_lookup_null,0,1,
client_suite/invite,0,1,
client_suite/invite_accept,0,1,
client_suite/invite_accept_move,0,1,
client_suite/invite_accept_resign_source,0,1,
client_suite/invite_accept_resign_target,0,1,
client_suite/invite_decline,0,1,
client_suite/invite_decline_wrong,0,1,
client_suite/invite_resign_wrong,0,1,
client_suite/invite_revoke,0,1,
client_suite/invite_revoke_wrong,0,1,
client_suite/login_logout,0,1,
client_suite/random_invite_revoke,0,1,
client_suite/send_ack,0,1,
client_suite/send_nack,0,1,
client_suite/send_packet,0,1,
game_suite/create,0,1,
game_suite/drawing_sequence,0,1,
game_suite/illegal_move,0,1,
game_suite/legal_moves,0,1,
game_suite/parse_move_wrong_player,0,1,
game_suite/parse_unparse_move,0,1,
game_suite/random_moves,0,1,
game_suite/resign,0,1,
game_suite/winning_sequence,0,1,
invitation_suite/concurrent_resign,0,1,
invitation_suite/create_accept,0,1,
invitation_suite/create_accept_close,0,1,
invitation_suite/create_accept_resign,0,1,
invitation_suite/create_close,0,1,
invitation_suite/create_close_close,0,1,
invitation_suite/create_different_clients,0,1,
invitation_suite/create_same_client,0,1,
player_registry_suite/many_threads_one_registry,0,1,
player_registry_suite/one_registry_one_player,0,1,
player_registry_suite/one_registry_three_players,0,1,
player_registry_suite/two_registries_two_players,0,1,
player_suite/concurrent_post,0,1,
player_suite/create,0,1,
player_suite/post_result_draw,0,1,
player_suite/post_result_first,0,1,
player_suite/post_result_series,0,1,
protocol_suite/recv_empty,0,1,
protocol_suite/recv_error,0,1,
protocol_suite/recv_no_payload,0,1,
protocol_suite/recv_short_header,0,1,
protocol_suite/recv_short_payload,0,1,
protocol_suite/recv_with_payload,0,1,
protocol_suite/send_error,0,1,
protocol_suite/send_no_payload,0,1,
protocol_suite/send_with_payload,0,1,
server_suite/invite_accept_first,0,1,
server_suite/invite_accept_move,0,1,
server_suite/invite_accept_resign,0,1,
server_suite/invite_accept_second,0,1,
server_suite/invite_decline,0,1,
server_suite/invite_disconnect,0,1,
server_suite/invite_revoke,0,1,
server_suite/login_many_users,0,1,
server_suite/login_users,0,1,
server_suite/ping,0,1,
server_suite/valid_login,0,1,
student_suite/00_start_server,1,1,
student_suite/01_connect,1,1,
total,2,73
