Graded Commit:3f2bf5fb86e300a055cff4359faf8c3ea75ae4f7

TEST NAME, POINTS,OUT OF
client_registry_suite/all_players_empty,1,1,
client_registry_suite/all_players_nonempty,1,1,
client_registry_suite/basic_one_registry,0,1,The test timed out.: None
client_registry_suite/basic_one_registry_premature,0,1,The test timed out.: None
client_registry_suite/basic_two_registries,0,1,The test timed out.: None
client_registry_suite/lookup_null,1,1,
client_registry_suite/many_threads_one_registry,0,1,The test timed out.: None
client_registry_suite/many_threads_one_registry_premature,0,1,The test timed out.: None
client_registry_suite/register_login_lookup_not_null,1,1,
client_registry_suite/register_login_lookup_null,1,1,
client_suite/invite,0,1,1 assertion(s) failed.: tests/client_test.c:120: Role in packet (0) does not match expected (2)
client_suite/invite_accept,0,1,1 assertion(s) failed.: tests/client_test.c:120: Role in packet (0) does not match expected (2)
client_suite/invite_accept_move,0,1,1 assertion(s) failed.: tests/client_test.c:120: Role in packet (0) does not match expected (1)
client_suite/invite_accept_resign_source,0,1,1 assertion(s) failed.: tests/client_test.c:120: Role in packet (0) does not match expected (2)
client_suite/invite_accept_resign_target,0,1,1 assertion(s) failed.: tests/client_test.c:120: Role in packet (0) does not match expected (2)
client_suite/invite_decline,0,1,1 assertion(s) failed.: tests/client_test.c:120: Role in packet (0) does not match expected (2)
client_suite/invite_decline_wrong,0,1,1 assertion(s) failed.: tests/client_test.c:120: Role in packet (0) does not match expected (2)
client_suite/invite_resign_wrong,0,1,1 assertion(s) failed.: tests/client_test.c:120: Role in packet (0) does not match expected (2)
client_suite/invite_revoke,0,1,1 assertion(s) failed.: tests/client_test.c:120: Role in packet (0) does not match expected (2)
client_suite/invite_revoke_wrong,0,1,1 assertion(s) failed.: tests/client_test.c:120: Role in packet (0) does not match expected (2)
client_suite/login_logout,1,1,
client_suite/random_invite_revoke,0,1,1 assertion(s) failed.: tests/client_test.c:565: Error revoking invitation
client_suite/send_ack,0,1,1 assertion(s) failed.: tests/client_test.c:193: Payload size readback was incorrect
client_suite/send_nack,1,1,
client_suite/send_packet,0,1,1 assertion(s) failed.: tests/client_test.c:170: Packet header readback was incorrect
game_suite/create,1,1,
game_suite/drawing_sequence,1,1,
game_suite/illegal_move,1,1,
game_suite/legal_moves,1,1,
game_suite/parse_move_wrong_player,0,1,1 assertion(s) failed.: tests/game_test.c:137: Returned move was not NULL
game_suite/parse_unparse_move,0,1,1 assertion(s) failed.: tests/game_test.c:162: Returned move was NULL
game_suite/random_moves,0,1,The test timed out.: None
game_suite/resign,1,1,
game_suite/winning_sequence,1,1,
invitation_suite/concurrent_resign,1,1,
invitation_suite/create_accept,1,1,
invitation_suite/create_accept_close,1,1,
invitation_suite/create_accept_resign,1,1,
invitation_suite/create_close,1,1,
invitation_suite/create_close_close,1,1,
invitation_suite/create_different_clients,1,1,
invitation_suite/create_same_client,1,1,
player_registry_suite/many_threads_one_registry,1,1,
player_registry_suite/one_registry_one_player,1,1,
player_registry_suite/one_registry_three_players,1,1,
player_registry_suite/two_registries_two_players,1,1,
player_suite/concurrent_post,0,1,The test timed out.: None
player_suite/create,1,1,
player_suite/post_result_draw,1,1,
player_suite/post_result_first,1,1,
player_suite/post_result_series,0,1,1 assertion(s) failed.: tests/player_test.c:104: Player rating (1514) does not match expected (1515)
protocol_suite/recv_empty,1,1,
protocol_suite/recv_error,1,1,
protocol_suite/recv_no_payload,0,1,1 assertion(s) failed.: tests/protocol_test.c:111: Received message timestamp_sec 0x44332211 did not match expected 0x11223344
protocol_suite/recv_short_header,1,1,
protocol_suite/recv_short_payload,1,1,
protocol_suite/recv_with_payload,0,1,1 assertion(s) failed.: tests/protocol_test.c:148: Received payload size was 6144 not 24
protocol_suite/send_error,1,1,
protocol_suite/send_no_payload,0,1,1 assertion(s) failed.: tests/protocol_test.c:34: Packet sent did not match expected
protocol_suite/send_with_payload,0,1,1 assertion(s) failed.: tests/protocol_test.c:58: Packet sent did not match expected
server_suite/invite_accept_first,0,1,1 assertion(s) failed.: tests/server_test.c:83: Role in packet (0) does not match expected (1)
server_suite/invite_accept_move,0,1,1 assertion(s) failed.: tests/server_test.c:83: Role in packet (0) does not match expected (2)
server_suite/invite_accept_resign,0,1,1 assertion(s) failed.: tests/server_test.c:83: Role in packet (0) does not match expected (2)
server_suite/invite_accept_second,0,1,1 assertion(s) failed.: tests/server_test.c:83: Role in packet (0) does not match expected (2)
server_suite/invite_decline,0,1,1 assertion(s) failed.: tests/server_test.c:83: Role in packet (0) does not match expected (2)
server_suite/invite_disconnect,0,1,1 assertion(s) failed.: tests/server_test.c:83: Role in packet (0) does not match expected (2)
server_suite/invite_revoke,0,1,1 assertion(s) failed.: tests/server_test.c:83: Role in packet (0) does not match expected (2)
server_suite/login_many_users,1,1,
server_suite/login_users,1,1,
server_suite/ping,1,1,
server_suite/valid_login,1,1,
student_suite/00_start_server,1,1,
student_suite/01_connect,0,1,The test timed out.: None
total,38,73
